date,TotalSleep,Awake,REM,Light,Deep,Restless,Efficiency,Latency,AvgRHR,LowRHR,AvgHRV,TDiff,RespR,RecPts,RPE,TSS,Beers
2020-06-12,31470.0,1650.0,6630.0,19200.0,5640.0,37.0,95.0,180.0,48.34,43.0,34.0,-0.14,15.875,7.18,3.0,44.0,a little
2020-06-13,31590.0,3570.0,6750.0,19650.0,5190.0,51.0,90.0,1320.0,48.92,45.0,37.0,0.0,15.25,7.31,0.0,0.0,nothing
2020-06-14,25350.0,1830.0,5910.0,14580.0,4860.0,36.0,93.0,180.0,44.83,42.0,38.0,-0.2,15.0,7.35,8.0,105.0,nothing
2020-06-15,29700.0,2340.0,7500.0,17490.0,4710.0,38.0,93.0,1440.0,48.78,45.0,33.0,-0.13,15.875,7.14,0.0,0.0,nothing
2020-06-16,21720.0,2280.0,4890.0,10800.0,6030.0,30.0,91.0,1410.0,46.69,44.0,40.0,-0.41,15.125,7.43,3.0,39.0,nothing
2020-06-17,28200.0,2640.0,6360.0,15870.0,5970.0,29.0,91.0,1050.0,51.42,48.0,29.0,-0.08,16.125,6.95,0.0,0.0,a little
2020-06-18,28080.0,3720.0,7320.0,16470.0,4290.0,43.0,88.0,1830.0,48.36,45.0,37.0,-0.11,15.375,7.31,3.0,40.0,nothing
2020-06-19,29220.0,1800.0,7920.0,15990.0,5310.0,34.0,94.0,150.0,48.7,44.0,30.0,-0.29,15.75,7.0,3.0,43.0,nothing
2020-06-20,33240.0,1380.0,8310.0,20220.0,4710.0,36.0,96.0,1110.0,52.13,48.0,25.0,-0.01,16.375,6.75,0.0,0.0,nothing
2020-06-21,26040.0,780.0,6600.0,13920.0,5520.0,31.0,97.0,180.0,51.07,46.0,33.0,0.23,15.875,7.14,4.7,60.0,nothing
2020-06-22,29340.0,1740.0,8130.0,16410.0,4800.0,34.0,94.0,1050.0,49.46,46.0,35.0,-0.02,16.125,7.23,3.0,39.0,a little
2020-06-23,26190.0,2370.0,6300.0,16680.0,3210.0,36.0,92.0,930.0,47.48,44.0,31.0,-0.03,15.625,7.05,8.3,33.0,a little
2020-06-24,30000.0,2940.0,6570.0,18870.0,4560.0,30.0,91.0,2310.0,48.93,44.0,33.0,0.04,15.875,7.14,0.0,0.0,nothing
2020-06-25,25470.0,1710.0,4830.0,14340.0,6300.0,31.0,94.0,1050.0,49.43,45.0,40.0,0.16,16.25,7.43,9.1,89.0,a little
2020-06-26,30060.0,3120.0,8190.0,17370.0,4500.0,38.0,91.0,1350.0,50.4,45.0,27.0,-0.2,16.0,6.85,7.8,54.0,nothing
2020-06-27,28710.0,1470.0,6060.0,17940.0,4710.0,39.0,95.0,180.0,51.14,48.0,30.0,-0.01,16.375,7.0,0.0,0.0,too much
2020-06-28,29610.0,1650.0,7080.0,18810.0,3720.0,42.0,95.0,150.0,50.76,46.0,35.0,-0.11,16.125,7.23,0.0,0.0,a little
2020-06-29,21510.0,2730.0,4770.0,11610.0,5130.0,40.0,89.0,240.0,47.85,42.0,43.0,-0.24,16.0,7.54,5.1,96.0,too much
2020-06-30,33390.0,2550.0,8040.0,21330.0,4020.0,41.0,93.0,180.0,51.5,47.0,30.0,0.07,16.25,7.0,0.0,0.0,a little
2020-07-01,30150.0,1290.0,8340.0,15630.0,6180.0,32.0,96.0,420.0,51.59,47.0,34.0,0.38,16.125,7.18,6.5,119.0,too much
2020-07-02,35610.0,1110.0,9030.0,20340.0,6240.0,44.0,97.0,300.0,51.08,47.0,35.0,-0.11,16.25,7.23,0.0,0.0,a little
2020-07-03,32910.0,3750.0,6900.0,22500.0,3510.0,43.0,90.0,2730.0,49.94,46.0,38.0,-0.03,16.25,7.35,0.0,0.0,nothing
2020-07-04,26100.0,2520.0,5760.0,15840.0,4500.0,35.0,91.0,180.0,44.22,41.0,42.0,-0.34,15.125,7.5,0.0,0.0,a little
2020-07-05,29760.0,2700.0,7470.0,18180.0,4110.0,33.0,92.0,210.0,47.09,44.0,36.0,0.09,15.375,7.27,9.3,90.0,nothing
2020-07-06,27090.0,2730.0,7410.0,14520.0,5160.0,39.0,91.0,360.0,48.65,46.0,34.0,-0.14,15.625,7.18,8.2,30.0,nothing
2020-07-07,33060.0,1440.0,8700.0,17880.0,6480.0,35.0,96.0,720.0,53.82,49.0,29.0,0.0,16.5,6.95,2.4,19.0,a little
2020-07-08,30210.0,3390.0,8160.0,16320.0,5730.0,34.0,90.0,2520.0,48.93,44.0,35.0,0.02,16.125,7.23,0.0,0.0,nothing
2020-07-09,26910.0,2070.0,7140.0,12180.0,7590.0,27.0,93.0,180.0,47.83,44.0,40.0,-0.28,15.25,7.43,6.2,68.0,nothing
2020-07-10,27360.0,1920.0,6120.0,16980.0,4260.0,44.0,93.0,1350.0,52.61,46.0,29.0,0.09,16.625,6.95,7.3,103.0,too much
2020-07-11,29850.0,3150.0,7200.0,18570.0,4080.0,43.0,90.0,1320.0,54.73,49.0,27.0,-0.06,16.25,6.85,0.0,0.0,nothing
2020-07-12,33900.0,1620.0,7530.0,20370.0,6000.0,41.0,95.0,180.0,48.76,45.0,39.0,-0.35,15.375,7.39,7.8,110.0,a little
2020-07-13,25710.0,3270.0,5550.0,15690.0,4470.0,39.0,89.0,1020.0,47.0,42.0,36.0,-0.45,15.375,7.27,3.0,39.0,nothing
2020-07-14,22740.0,1200.0,4830.0,13500.0,4410.0,31.0,95.0,780.0,50.42,46.0,30.0,0.35,15.875,7.0,6.5,68.0,a little
2020-07-15,29640.0,2040.0,7470.0,14910.0,7260.0,33.0,94.0,1050.0,49.65,45.0,36.0,0.02,16.25,7.27,0.0,0.0,nothing
2020-07-16,26010.0,2130.0,5550.0,15270.0,5190.0,39.0,92.0,1020.0,49.67,46.0,40.0,0.29,16.5,7.43,7.1,98.0,nothing
